r,kappa_c_mean,kappa_c_std
0.04,0.1175305481338501,0.03889335561031672
0.1,0.12307998344898223,0.05096758674819279
0.2,0.1310076092672348,0.04833456653965954
0.3,0.15223993414402007,0.058331824279422864
0.4,0.16205366124629975,0.05343929678867733
0.5,0.17555636290073395,0.05253278825255127
0.6,0.1984422940301895,0.051439295292360195
0.7,0.22076051570892333,0.04928298139514288
0.8,0.2368086790180206,0.05037436763784248
0.9,0.2629877368116379,0.05247825293918645
0.95,0.28090764385700223,0.05302739248324315
