m,alpha_over_alpha_star,S_mean,S_std
0,0.100000,0.190196,0.132639
0,0.226316,0.568627,0.314826
0,0.352632,0.759804,0.380166
0,0.478947,0.764706,0.382529
0,0.605263,0.763725,0.382138
0,0.731579,0.762745,0.381769
0,0.857895,0.758824,0.379532
0,0.984211,0.764706,0.382453
0,1.110526,1.000000,0.000000
0,1.236842,1.000000,0.000000
0,1.363158,1.000000,0.000000
0,1.489474,1.000000,0.000000
0,1.615789,1.000000,0.000000
0,1.742105,1.000000,0.000000
0,1.868421,1.000000,0.000000
0,1.994737,1.000000,0.000000
0,2.121053,1.000000,0.000000
0,2.247368,1.000000,0.000000
0,2.373684,1.000000,0.000000
0,2.500000,1.000000,0.000000
4,0.100000,0.039623,0.045204
4,0.226316,0.315094,0.202916
4,0.352632,0.597170,0.324809
4,0.478947,0.649057,0.346210
4,0.605263,0.702830,0.356480
4,0.731579,0.649057,0.333722
4,0.857895,0.717925,0.360926
4,0.984211,0.729245,0.366617
4,1.110526,1.000000,0.000000
4,1.236842,1.000000,0.000000
4,1.363158,1.000000,0.000000
4,1.489474,1.000000,0.000000
4,1.615789,1.000000,0.000000
4,1.742105,1.000000,0.000000
4,1.868421,1.000000,0.000000
4,1.994737,1.000000,0.000000
4,2.121053,1.000000,0.000000
4,2.247368,1.000000,0.000000
4,2.373684,1.000000,0.000000
4,2.500000,1.000000,0.000000
8,0.100000,0.018182,0.018182
8,0.226316,0.253636,0.149570
8,0.352632,0.462727,0.279357
8,0.478947,0.542727,0.309573
8,0.605263,0.542727,0.300772
8,0.731579,0.568182,0.314058
8,0.857895,0.644545,0.339821
8,0.984211,0.648182,0.419682
8,1.110526,1.000000,0.000000
8,1.236842,1.000000,0.000000
8,1.363158,1.000000,0.000000
8,1.489474,1.000000,0.000000
8,1.615789,1.000000,0.000000
8,1.742105,1.000000,0.000000
8,1.868421,1.000000,0.000000
8,1.994737,1.000000,0.000000
8,2.121053,1.000000,0.000000
8,2.247368,1.000000,0.000000
8,2.373684,1.000000,0.000000
8,2.500000,1.000000,0.000000
